sk_consulta,sk_medico,sk_data,sk_tipo_consulta,preco_consulta,nota
1,152215,1130,2.0,,2.1
2,32331,247,2.0,,1.7
3,97678,829,2.0,450.0,3.4
4,140182,1953,2.0,,4.4
5,141757,2154,2.0,,1.3
6,151037,1793,2.0,,3.1
7,31072,926,2.0,,0.6
8,52519,1668,2.0,,2.7
9,561,685,1.0,400.0,0.0
10,138705,1543,2.0,,1.1
11,99323,1853,2.0,50.0,4.3
12,132665,1162,2.0,,2.1
13,130297,1949,2.0,,3.9
14,65429,158,2.0,,3.7
15,81067,1658,2.0,,2.5
16,140987,1932,2.0,,2.5
17,43890,1825,2.0,,4.8
18,49022,1743,2.0,180.0,3.7
19,13964,310,1.0,350.0,3.1
20,22423,420,2.0,,2.2
21,603,113,1.0,440.0,0.5
22,40996,1016,2.0,,3.0
23,22673,406,2.0,300.0,4.8
24,153750,194,2.0,,2.7
25,56711,1641,2.0,,0.6
26,44136,543,1.0,250.0,0.5
27,141886,1365,2.0,,1.8
28,51355,674,2.0,,4.2
29,18621,139,2.0,,2.7
30,86908,574,2.0,,0.8
31,7595,504,2.0,350.0,1.8
32,72720,2124,2.0,,2.7
33,147862,1331,2.0,,4.2
34,80076,455,2.0,,4.4
35,84702,292,2.0,,3.4
36,48927,164,2.0,300.0,4.9
37,17113,391,2.0,,1.1
38,113874,614,2.0,,4.2
39,55550,1831,2.0,,2.0
40,10955,184,1.0,600.0,4.5
41,77576,1490,2.0,,1.5
42,3324,668,2.0,,4.0
43,158268,1917,2.0,200.0,3.7
44,51779,1614,2.0,400.0,4.3
45,144791,1917,2.0,,4.0
46,21678,2107,2.0,50.0,1.4
47,37991,1042,2.0,,0.2
48,65807,1145,2.0,,4.9
49,63645,852,2.0,,1.2
50,63845,1380,2.0,,3.5
51,26675,1679,2.0,,4.0
52,19340,1237,2.0,,1.6
53,66863,1899,2.0,,4.7
54,10147,473,2.0,650.0,4.1
55,18277,355,2.0,350.0,3.1
56,159358,1456,2.0,,2.0
57,121309,525,2.0,,0.9
58,69721,1284,2.0,,0.7
59,114417,2110,2.0,,2.4
60,15250,1677,2.0,,2.4
61,3695,263,1.0,280.0,3.9
62,5843,2177,1.0,600.0,2.5
63,6893,1116,2.0,75.0,0.0
64,138100,354,2.0,,0.6
65,109624,2004,2.0,,2.1
66,14817,1363,2.0,,4.3
67,72255,1757,2.0,,1.4
68,54560,790,2.0,,0.4
69,150154,1786,2.0,,0.7
70,16049,24,1.0,180.0,1.6
71,90724,550,2.0,,0.3
72,33277,2142,2.0,350.0,4.1
73,153017,1226,2.0,,1.6
74,6215,1434,1.0,350.0,2.1
75,30365,181,2.0,,0.9
76,97685,833,2.0,,3.2
77,143297,2003,2.0,,1.3
78,959,1254,1.0,450.0,4.2
79,45684,1907,2.0,200.0,0.5
80,164338,999,2.0,,0.4
81,39083,1923,2.0,,1.4
82,83165,2072,2.0,,0.2
83,145564,144,2.0,,1.2
84,32864,1073,1.0,450.0,1.6
85,76066,1464,2.0,,2.6
86,148967,1987,2.0,,4.0
87,125640,1830,2.0,120.0,1.7
88,62326,1603,2.0,,0.7
89,22774,139,2.0,,0.1
90,31781,1741,2.0,,4.8
91,8909,347,2.0,,4.4
92,135016,634,2.0,,1.0
93,63241,998,2.0,,1.1
94,107674,1450,2.0,,1.0
95,112788,1491,2.0,,0.6
96,91728,970,2.0,,4.8
97,58645,682,2.0,,1.3
98,117753,347,2.0,,0.3
99,158279,1879,2.0,,3.4
100,30896,2067,2.0,,3.4
101,80620,770,2.0,,3.0
102,131830,1789,2.0,,1.6
103,51226,1813,2.0,,3.0
104,101533,600,2.0,,0.2
105,144273,935,2.0,,1.7
106,150355,863,2.0,,1.8
107,152395,887,2.0,,1.7
108,158339,1395,2.0,,0.4
109,702,189,1.0,250.0,0.2
110,42676,1370,2.0,600.0,3.9
111,134090,52,2.0,,4.6
112,83514,1101,2.0,,2.5
113,14800,1897,2.0,,1.7
114,87544,1958,2.0,,2.6
115,105493,1432,2.0,,2.5
116,99563,2143,2.0,,0.9
117,51613,98,2.0,,0.1
118,55188,975,2.0,,1.4
119,124206,39,2.0,,2.8
120,158792,13,2.0,,4.7
121,165035,1451,2.0,,4.0
122,110989,1327,2.0,,1.9
123,24562,951,2.0,,1.9
124,61041,2164,2.0,,1.6
125,121036,151,2.0,,2.0
126,159496,633,2.0,,2.2
127,146910,1752,2.0,,0.8
128,9540,625,2.0,,1.9
129,24233,1231,2.0,300.0,3.5
130,9179,2043,2.0,380.0,4.0
131,102209,1362,2.0,,0.3
132,39159,60,2.0,,1.8
133,105648,1553,2.0,,0.2
134,162201,343,2.0,,3.7
135,7891,1945,2.0,200.0,3.9
136,19123,862,2.0,250.0,3.5
137,74495,508,2.0,,4.2
138,142257,175,2.0,,1.4
139,12431,1516,2.0,120.0,2.3
140,109222,2012,2.0,,1.2
141,81618,774,2.0,,1.9
142,64147,1249,1.0,90.0,1.4
143,66905,1340,2.0,300.0,0.4
144,36022,1668,2.0,100.0,2.4
145,81457,172,2.0,,4.1
146,123207,24,2.0,,4.6
147,116778,1769,2.0,,0.5
148,102304,1214,2.0,,1.3
149,149505,1672,2.0,,3.3
150,14608,1175,2.0,,2.1
151,32072,1829,2.0,,0.4
152,78773,224,2.0,,4.8
153,106889,978,2.0,,3.9
154,31007,1710,2.0,500.0,2.1
155,131077,1191,2.0,,0.9
156,123756,1103,2.0,,4.0
157,2030,458,1.0,,3.7
158,24319,1675,2.0,,2.9
159,159168,318,2.0,,1.1
160,87007,1401,2.0,,0.3
161,68132,1719,2.0,,4.0
162,131651,245,2.0,,0.2
163,106095,57,2.0,,4.6
164,54961,912,2.0,110.0,1.3
165,75627,1898,2.0,,4.0
166,11407,349,2.0,700.0,0.6
167,120427,984,2.0,,1.1
168,52145,2161,2.0,100.0,0.5
169,63220,1874,2.0,,3.8
170,51095,1386,2.0,,3.0
171,6333,1028,2.0,,4.3
172,164702,1973,2.0,,4.5
173,584,41,1.0,400.0,0.5
174,21234,532,2.0,650.0,3.9
175,80095,2175,2.0,,2.2
176,154408,1123,2.0,,2.8
177,31158,578,2.0,,4.5
178,99599,1487,2.0,,4.9
179,33655,484,2.0,,3.5
180,20535,29,2.0,,4.4
181,76624,46,2.0,,2.9
